Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2005-01-03,81.17462158203125,9.217490196228027,9.504981994628906,16.086000442504883,20.512523651123047,8.010024070739746,13.196807861328125,6.583832740783691,20.733531951904297,13.45780086517334
2005-01-04,80.18266296386719,9.051497459411621,9.456071853637695,15.932644844055176,20.25944709777832,7.8607683181762695,13.151070594787598,6.538392543792725,20.5667781829834,13.30042839050293
2005-01-05,79.6293716430664,8.926212310791016,9.415308952331543,15.906204223632812,20.11958885192871,7.833982467651367,13.082453727722168,6.435558319091797,20.532024383544922,13.250530242919922
2005-01-06,80.03423309326172,8.985724449157715,9.578347206115723,15.985526084899902,20.18618392944336,7.8110151290893555,13.145350456237793,6.46903657913208,20.68490219116211,13.181429862976074
2005-01-07,79.91954040527344,9.00137996673584,9.502264976501465,15.900917053222656,20.092947006225586,7.826325416564941,13.208250999450684,6.46903657913208,20.671003341674805,13.177594184875488
2005-01-10,80.29740905761719,9.042098045349121,9.572915077209473,15.91678237915039,20.16620445251465,7.826325416564941,13.288296699523926,6.502519130706787,20.85165786743164,13.227490425109863
2005-01-11,79.74410247802734,8.948131561279297,9.586499214172363,15.848028182983398,20.072969436645508,7.749784469604492,13.231118202209473,6.4833855628967285,20.705747604370117,13.143043518066406
2005-01-12,80.00724792480469,9.007647514343262,9.754971504211426,15.826884269714355,20.099611282348633,7.791881561279297,13.271137237548828,6.502519130706787,20.844694137573242,13.219813346862793
2005-01-13,79.3662338256836,8.973194122314453,9.820180892944336,15.67353343963623,19.906475067138672,7.715343952178955,13.185375213623047,6.533608913421631,20.532024383544922,13.123854637145996
2005-01-14,79.7845687866211,9.057759284973145,9.907136917114258,15.726418495178223,20.039669036865234,7.738301753997803,13.259709358215332,6.588611602783203,20.615413665771484,13.246682167053223
2005-01-18,80.61455535888672,9.092205047607422,10.00495719909668,15.974945068359375,20.11958885192871,7.822502136230469,13.396939277648926,6.6460065841674805,20.78216552734375,13.358001708984375
2005-01-19,79.77107238769531,9.029569625854492,9.969632148742676,15.816306114196777,19.959749221801758,7.657936096191406,13.374066352844238,6.6173095703125,20.65015983581543,13.223650932312012
